Organization,Shop,Production Line,Equipment Line,Work Order,Model.Suffix,Box,Set,Wip,Buyer S/No,Rework,OQC_SMPLG_FLAG,Input Time,Out Time,Box Weight,Box Weight Result,Box Weight Time,MAC Address,Off Line history,ACCBAG_1,BOXCARTON_1,CARD_1,ENERGYLBL_1,ENERGYLBL_2,MANUAL_1,MANUAL_2,MANUAL_3,MANUAL_4,MANUAL_5,MOD_1,PANEL_1,PCBG_MAIN_1,POWERCORD_1,PSU_1,REMOCON_1,STREAMER_1,WARRANTY_1,Uploaded Panel,Repair Flag,이슈 제번,MAC_ADDRESS,LOAD_DATE
AP4,Final Assembly,L01,L01,5F2L0970,75QNED8GA6A.BTRDLJL,33758505330990TRDLJL,505PLSY330990,,505PLSY330990,N,,2025-05-31 12:59:38.993,2025-05-31 13:06:53.183,,,,58:96:0A:78:06:A5,,5F2L0970.L3145150200025,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R4S4C7J3E65947101QU45,,LD55W100BM,EAD65969409IUK55S3796,SR3CA659207311451,AKB76046609IH3537K270,MEZ00766501,MBM675057042501REV00,,,,58960A7806A5,2025-06-03 03:09:06
AP4,Final Assembly,L01,L01,5F2L0970,75QNED8GA6A.BTRDLJL,33758505330892TRDLJL,505PLQN330892,,505PLQN330892,N,,2025-05-31 11:26:53.086,2025-05-31 11:36:51.108,,,,58:96:0A:78:06:E2,,5F2L0970.L3145150200087,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R4S4VCJ3E65947101QU45,,LD55W100DF,EAD65969409IUK55Q3249,SR34A659207310070,AKB76046609IH352DA308,,MBM675057042501REV00,,,,58960A7806E2,2025-06-05 01:41:19
AP4,Final Assembly,L01,L01,5EMG0018,75QNED8GA6A.BTRDLJL,33758505190338TRDLJL,505PLXA190338,,505PLXA190338,N,,2025-05-06 13:34:27.437,2025-05-06 13:41:30.490,,,,58:96:0A:58:BD:0C,,5EMG0018.L3145150200057,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3N5T4J3E65947101Q545,,LD5551005H,EAD65969409IUK5522148,SR2HA659207310846,AKB76046609IOS52S0815,MEZ00766501,MBM675057042501REV00,,,,58960A58BD0C,2025-05-08 23:48:10
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225606TRDLJL,505PLSY225606,,505PLSY225606,N,Y,2025-05-13 10:54:11.177,2025-05-13 11:00:42.511,,,,58:96:0A:5B:D9:56,,5F2L0007.L3145150200098,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R478LPJ3E65947101Q845,,LD55B101XL,EAD65969409IUK5593318,SR2CA659207310691,AKB76046609IOS54A0767,MEZ00766501,MBM675057042501REV00,,,,58960A5BD956,2025-05-21 11:07:32
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225699TRDLJL,505PLCD225699,,505PLCD225699,N,,2025-05-13 11:53:12.165,2025-05-13 11:59:31.185,,,,58:96:0A:5B:D9:9B,,5F2L0007.L3145150200194,MAY06793416,MBM63882538,,MEZ00766011,,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R478J6J3E65947101Q545,,LD55B101ZH,EAD65969409IUK5593213,SR2CA659207311728,AKB76046609IOS54B0129,MEZ00766501,MBM675057042501REV00,,,,58960A5BD99B,2025-05-30 11:52:02
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225729TRDLJL,505PLTV225729,,505PLTV225729,N,,2025-05-13 12:42:53.089,2025-05-13 12:49:21.272,,,,58:96:0A:5B:D9:C9,,5F2L0007.L3145150200158,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R477PUJ3E65947101Q645,,LD55B1020T,EAD65969409IUK5593341,SR23A659207311552,AKB76046609IOS54B0453,MEZ00766501,MBM675057042501REV00,,,,58960A5BD9C9,2025-05-20 14:02:49
AP4,Final Assembly,L01,L01,5EMG0018,75QNED8GA6A.BTRDLJL,33758505190371TRDLJL,505PLCD190371,,505PLCD190371,N,,2025-05-06 13:56:59.406,2025-05-06 14:04:11.542,,,,58:96:0A:58:BA:F9,,5EMG0018.L3145150200012,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3N5KYJ3E65947101Q545,,LD5551000M,EAD65969409IUK5522013,SR2HA659207311003,AKB76046609IOS52S0681,MEZ00766501,MBM675057042501REV00,,,,58960A58BAF9,2025-05-07 15:33:03
AP4,Final Assembly,L01,L01,5EMG0018,75QNED8GA6A.BTRDLJL,33758505190382TRDLJL,505PLUH190382,,505PLUH190382,N,,2025-05-06 14:04:48.853,2025-05-06 14:10:57.074,,,,58:96:0A:58:BC:95,,5EMG0018.L3145150200030,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3N5E2J3E65947101PH45,TJ521064AS02-,LD5551004L,EAD65969409IUK5522123,SR2CA659207311590,AKB76046609IOS52S0822,MEZ00766501,MBM675057042501REV00,,,,58960A58BC95,2025-05-07 15:31:03
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225629TRDLJL,505PLZU225629,,505PLZU225629,N,,2025-05-13 11:09:45.157,2025-05-13 11:55:54.049,,,,58:96:0A:5B:D9:AA,,5F2L0007.L3145150200064,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R478E3J3E65947101Q545,,LD55B101ZY,EAD65969409IUK5593025,SR2HA659207310009,AKB76046609IOS54B0730,MEZ00766501,MBM675057042501REV00,,,,58960A5BD9AA,2025-05-14 00:26:51
AP4,Final Assembly,L01,L01,5F2L0970,75QNED8GA6A.BTRDLJL,33758505330972TRDLJL,505PLEF330972,,505PLEF330972,N,,2025-05-31 12:47:43.221,2025-05-31 12:55:40.588,,,,58:96:0A:78:06:98,,5F2L0970.L3145150200057,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R478DHJ3E65947101Q545,,LD55W100DR,EAD65969409IUK55Q3510,SR3BA659207312014,AKB76046609IH352DA360,MEZ00766501,MBM675057042501REV00,,,,58960A780698,2025-06-03 03:11:57
