PROD_DATE,LG SERIAL NUMBER,PCBA_SN,MAC_ADDRESS
2025-04-11,504IKTY04297,AC54811072,00A1591477AE
2025-04-11,504IKDE04298,AC548110NX,00A15914765C
2025-04-11,504IKMQ04299,AC5481105G,00A15913C8C4
2025-04-11,504IKEV04300,AC548110DT,00A159147711
2025-04-11,504IKKX04301,AC548110NC,00A159147639
2025-04-11,504IKNF04303,AC5481104T,00A1591477D3
2025-04-12,504IKAW04304,AC548110ES,00A15913C7BF
2025-04-11,504IKXB04306,AC548110JN,00A15913C719
2025-04-11,504IKFG04307,AC5481109E,00A15913C8A8
2025-04-11,504IKJR04308,AC548110SH,00A1591476C4
2025-04-12,504IKBA04309,AC5481104G,00A15913C908
2025-04-11,504IKRJ04310,AC548110CK,00A15914772B
2025-04-11,504IKVK04311,AC548110K6,00A15914769F
2025-04-11,504IKPL04312,AC548110PC,00A15913C772
2025-04-11,504IKHS04313,AC5481108B,00A15913C7C5
2025-04-11,504IKYC04314,AC548110MF,00A15913C6E9
2025-04-12,504IKCM04315,AC548110NR,00A15914765F
2025-04-11,504IKQT04316,AC5481106E,00A15913C89A
2025-04-11,504IKZZ04317,AC548110KT,00A1591476AC
2025-04-11,504IKSD04318,AC5481101P,00A15913C92D
2025-04-11,504IKGN04319,AC548110PS,00A1591476BF
2025-04-11,504IKLU04320,AC548110J9,00A15913C753
2025-04-11,504IKTY04321,AC52E1100Q,00A15913C854
2025-04-11,504IKDE04322,AC548110NZ,00A15914765B
2025-04-11,504IKMQ04323,AC5481105F,00A15913C8C5
2025-04-11,504IKEV04324,AC548110DW,00A15913C7CE
2025-04-11,504IKKX04325,AC548110NN,00A159147633
2025-04-11,504IKUP04326,AC548110FV,00A1591476F8
2025-04-11,504IKNF04327,AC5481104S,00A1591477D4
2025-04-12,504IKAW04328,AC548110L3,00A1591476A7
2025-04-11,504IKWH04329,AC548110J2,00A15913C729
2025-04-11,504IKXB04330,AC548110R7,00A15913C6FF
2025-04-11,504IKFG04331,AC548110FY,00A15913C7B6
2025-04-11,504IKJR04332,AC548110SF,00A1591476C5
2025-04-12,504IKBA04333,AC5481103E,00A15913C90B
2025-04-11,504IKRJ04334,AC548110EM,00A15914770C
2025-04-11,504IKVK04335,AC548110K5,00A15913C73D
2025-04-11,504IKPL04336,AC548110LJ,00A15913C776
2025-04-11,504IKHS04337,AC52E1101B,00A15913C77F
2025-04-11,504IKYC04338,AC548110QA,00A159147670
2025-04-12,504IKCM04339,AC5481104C,00A15913C904
2025-04-11,504IKQT04340,AC5481106D,00A15913C89B
2025-04-11,504IKZZ04341,AC548110KW,00A15913C747
2025-04-11,504IKSD04342,AC548110DL,00A15913C7C9
2025-04-11,504IKGN04343,AC548110PQ,00A1591476C0
2025-04-11,504IKLU04344,AC548110Q5,00A1591476B9
2025-04-11,504IKTY04345,AC5481104N,00A15913C894
2025-04-11,504IKDE04346,AC548110NY,00A15913C6F9
2025-04-11,504IKMQ04347,AC5481105J,00A15913C8C2
2025-04-11,504IKEV04348,AC548110DU,00A15913C7CD
2025-04-11,504IKKX04349,AC548110NE,00A15913C6DA
2025-04-11,504IKUP04350,AC548110BK,00A15913C7D8
2025-04-11,504IKNF04351,AC5481104V,00A15913C88B
2025-04-12,504IKAW04352,AC548110F8,00A1591476FC
2025-04-11,504IKWH04353,AC548110GQ,00A15914768D
2025-04-11,504IKXB04354,AC548110JG,00A15913C71B
2025-04-11,504IKFG04355,AC548110FU,00A1591476F7
2025-04-11,504IKJR04356,AC52E11002,00A15913C75F
2025-04-12,504IKBA04357,AC5481103G,00A15913C90C
2025-04-11,504IKRJ04358,AC548110EK,00A15914770B
2025-04-11,504IKVK04359,AC548110K4,00A1591476A0
2025-04-11,504IKPL04360,AC548110L4,00A15913C77E
2025-04-11,504IKHS04361,AC548110PJ,00A15913C76F
2025-04-11,504IKYC04362,AC548110HP,00A159147695
2025-04-12,504IKCM04363,AC5481104B,00A15913C903
2025-04-11,504IKQT04364,AC5481105T,00A15913C89C
2025-04-11,504IKZZ04365,AC548110FM,00A1591476F3
2025-04-11,504IKSD04366,AC5481105S,00A1591477CB
2025-04-11,504IKGN04367,AC548110D3,00A15913C7FC
2025-04-11,504IKLU04368,AC548110K9,00A1591476B6
2025-04-11,504IKTY04369,AC52E1100N,00A15913C855
2025-04-11,504IKDE04370,AC548110NV,00A15914765D
2025-04-11,504IKMQ04371,AC5481105E,00A15913C8C6
2025-04-11,504IKEV04372,AC548110DR,00A159147710
2025-04-11,504IKKX04373,AC548110N7,00A15913C6DD
2025-04-11,504IKUP04374,AC54811086,00A159147706
2025-04-11,504IKNF04375,AC5481104W,00A15913C890
2025-04-12,504IKAW04376,AC548110KZ,00A1591476A9
2025-04-11,504IKWH04377,AC548110PW,00A15914766F
2025-04-11,504IKXB04378,AC548110QK,00A15914766B
2025-04-11,504IKFG04379,AC548110G7,00A1591476EB
2025-04-11,504IKJR04380,AC52E11004,00A15913C75E
2025-04-12,504IKBA04381,AC5481103H,00A15913C90D
2025-04-11,504IKRJ04382,AC52E1100T,00A15913C853
2025-04-11,504IKVK04383,AC548110K2,00A1591476A1
2025-04-11,504IKPL04384,AC548110LK,00A15913C777
2025-04-11,504IKHS04385,AC548110BU,00A159147724
2025-04-11,504IKYC04386,AC548110RG,00A159147676
2025-04-12,504IKCM04387,AC54811045,00A15913C8FD
2025-04-11,504IKQT04388,AC5481106C,00A15913C89D
2025-04-11,504IKZZ04389,AC548110KY,00A15913C746
2025-04-11,504IKSD04390,AC5481105Y,00A1591477C8
2025-04-11,504IKGN04391,AC548110JS,00A1591476A6
2025-04-11,504IKLU04392,AC548110J1,00A15913C72A
2025-04-11,504IKTY04393,AC5481101M,00A15913C92B
2025-04-11,504IKDE04394,AC548110NU,00A15913C6FB
2025-04-11,504IKMQ04395,AC5481105H,00A15913C8C3
2025-04-11,504IKEV04396,AC548110E0,00A15913C7D0
2025-04-11,504IKKX04397,AC548110NM,00A15913C6D6
2025-04-11,504IKUP04398,AC54811084,00A159147705
2025-04-11,504IKNF04399,AC5481104X,00A15913C88A
2025-04-12,504IKAW04400,AC5481108C,00A159147709
2025-04-11,504IKWH04401,AC548110J4,00A159147690
2025-04-11,504IKXB04402,AC548110QJ,00A15913C70A
2025-04-11,504IKFG04403,AC54811090,00A15913C8BB
2025-04-11,504IKJR04404,AC52E11003,00A1591476C3
2025-04-12,504IKBA04405,AC5481100U,00A15913C90E
2025-04-11,504IKRJ04406,AC52E1100S,00A159147791
2025-04-11,504IKVK04407,AC548110K3,00A15913C73E
2025-04-11,504IKPL04408,AC548110LL,00A1591476DD
2025-04-11,504IKHS04409,AC52E11017,00A15913C784
2025-04-11,504IKYC04410,AC5481109U,00A15914772F
2025-04-12,504IKCM04411,AC54811048,00A15913C900
2025-04-11,504IKQT04412,AC54811069,00A15913C8A0
2025-04-11,504IKZZ04413,AC548110PZ,00A1591476BC
2025-04-11,504IKSD04414,AC5481105P,00A15913C886
